INAME,CPARTNO,CDRGNO,ICODE,IQTYIN,NAME,STAGE,VCHNUM,VCHDATE,ENT_BY,TYPE,ENT_DT,WOLINK,,
FG-TOP HOUSING PIF_DB72221PXC200X,DB72221PXC200X,-,90211741,1,PDI-FGS,69,000157,08/03/2024,SPT,50,08/03/2024,,,
SIDE DUCT 41 INCH FEEDER,45217-270-041,-,91220024,2,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
DUCT BOTTOM 17 INCH FEEDER 2500A,45217-037-01-17,-,91221296,2,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
SIDE DUCT 17 INCH FEEDER,45217-270-017,-,91220007,4,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
DUCT BOTTOM 115 INCH FEEDER 2500A,45217-037-01-115,-,91221394,1,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
DUCT TOP 41 INCH FEEDER 2500A,45217-044-05-41,-,91221215,1,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
DUCT TOP 16 INCH FEEDER 2500A,45217-044-05-16,-,91221190,1,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
DUCT TOP 115 INCH FEEDER 2500A,45217-044-05-115,-,91221289,1,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
DUCT TOP 43 INCH FEEDER 2500A,45217-044-05-43,-,91221217,1,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
SIDE DUCT 16 INCH FEEDER,45217-270-016,-,91220006,2,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
DUCT BOTTOM 16 INCH FEEDER 2500A,45217-037-01-16,-,91221295,1,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
SIDE DUCT 115 INCH FEEDER  45217-270-115,45217-270-115,-,91222758,2,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
DUCT BOTTOM 43 INCH FEEDER 2500A,45217-037-01-43,-,91221322,1,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
SIDE DUCT 43 INCH FEEDER,45217-270-043,-,91220026,2,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
DUCT TOP 17 INCH FEEDER 2500A,45217-044-05-17,-,91221191,2,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
DUCT BOTTOM 41 INCH FEEDER 2500A,45217-037-01-41,-,91221320,1,PDI-FGS,69,000156,07/03/2024,SPT,50,07/03/2024,,,
SIDE DUCT 16 INCH FEEDER,45217-270-016,-,91220006,2,PDI-FGS,69,000155,07/03/2024,LER,50,07/03/2024,,,
DUCT BOTTOM 10 FEET FEEDER 4000A,45217-048-04,-,91221714,18,PDI-FGS,69,000155,07/03/2024,LER,50,07/03/2024,,,
BUSWAYSIDE_45217-270-05,45217-270-05.,-,91222707,36,PDI-FGS,69,000155,07/03/2024,LER,50,07/03/2024,,,
DUCT BOTTOM 16 INCH FEEDER 3200A,45217-037-03-16,-,91221505,1,PDI-FGS,69,000155,07/03/2024,LER,50,07/03/2024,,,
DUCT TOP 10 FEET FEEDER 4000A,45217-027-08,-,91221609,18,PDI-FGS,69,000155,07/03/2024,LER,50,07/03/2024,,,
DUCT TOP 16 INCH FEEDER 3200A,45217-044-07-16,-,91221400,1,PDI-FGS,69,000155,07/03/2024,LER,50,07/03/2024,,,
DUCT TOP 10 FEET FEEDER 4000A,45217-027-08,-,91221609,23,PDI-FGS,69,000154,05/03/2024,LER,50,05/03/2024,,,
BUSWAYSIDE_45217-270-05,45217-270-05.,-,91222707,46,PDI-FGS,69,000154,05/03/2024,LER,50,05/03/2024,,,
