INAME,CPARTNO,CDRGNO,ICODE,IQTYIN,NAME,STAGE,VCHNUM,VCHDATE,ENT_BY,TYPE,ENT_DT,WOLINK,,
FG-  SIDE DUCT FEEDER 94 INCH RAL 9003,45217-270-094-E,-,91223229,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
TOP DUCT RISER1000A 10FT 3HUMP P145,76300-401-R-145-11,-,91222058,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 27 INCH FDR 2500A RAL 9003_45217-044-05-27-E,45217-044-05-27-E,-,91223765,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 23 INCH FDR 2500A RAL 9003_45217-037-01-23-E,45217-037-01-23-E,-,91223679,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 32 INCH FDR 2500A RAL 9003_45217-037-01-32-E,45217-037-01-32-E,-,91223715,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
SIDE DUCT 69 INCH FEEDER,45217-270-069,-,91220059,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
DUCT BOTTOM 10 FEET FEEDER 2500A,45217-037-01,-,91221294,12,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 46 INCH FDR 2500A RAL 9003_45217-037-01-46-E,45217-037-01-46-E,-,91223633,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG -SIDE DUCT FEEDER 18 INCH RAL 9003_45217-270-018-E,45217-270-018-E,-,91223809,4,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG -DUCT BOTTOM 18 INCH FDR 2500A RAL 9003_45217-037-01-18-E,45217-037-01-18-E,-,91223800,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
SIDE DUCT 67 INCH FEEDER,45217-270-067,-,91220057,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
SIDE DUCT  10FT 3HUMP P125,76300-142-125,-,91220132,10,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
SIDE DUCT 54 INCH FEEDER,45217-270-054,-,91222698,4,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG- DUCT BOTTOM 59 INCH FDR 2500A RAL 9003_45217-037-01-59-E,45217-037-01-59-E,-,91223863,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 116 INCH FDR 2500A RAL 9003_45217-044-05-116-E,45217-044-05-116-E,-,91223639,3,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 53 INCH FDR 2500A RAL 9003_45217-044-05-53-E,45217-044-05-53-E,-,91223646,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 47 INCH FDR 2500A RAL 9003,45217-044-05-47-E,-,91223818,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG -DUCT TOP 18 INCH FDR 2500A RAL 9003_45217-044-05-18-E,45217-044-05-18-E,-,91223805,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
BUSWAYSIDE_45217-270-05,45217-270-05.,-,91222707,40,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
SIDE DICT FOR RISER 10FT W/O SLOT,45217-270-05-R,-,91220098,12,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG -DUCT BOTTOM 94 INCH FDR 2500A RAL 9003_45217-037-01-94-E,45217-037-01-94-E,-,91223796,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
DUCT TOP 16 INCH FEEDER 1000A,45217-017-22-16,-,91220350,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG- DUCT TOP 77 INCH FDR 2500A RAL 9003_45217-044-05-77-E,45217-044-05-77-E,-,91223871,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 97 INCH FDR 2500A RAL 9003_45217-037-01-97-E,45217-037-01-97-E,-,91223733,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 49 INCH RAL 9003_45217-270-049-E,45217-270-049-E,-,91223780,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 71 INCH FDR 2500A RAL 9003_45217-037-01-71-E,45217-037-01-71-E,-,91223637,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 71 INCH RAL 9003_45217-270-071-E,45217-270-071-E,-,91223658,6,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
DUCT TOP 68 INCH FEEDER 5000A,45217-027-07-68,-,91221872,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 103 INCH FDR 2500A RAL 9003_45217-044-05-103-E,45217-044-05-103-E,-,91223727,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG- DUCT BOTTOM 74 INCH FDR 2500A RAL 9003_45217-037-01-74-E,45217-037-01-74-E,-,91223864,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG- DUCT TOP 98 INCH FDR 2500A RAL 9003_45217-044-05-98-E,45217-044-05-98-E,-,91223859,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
DUCT BOTTOM 54 INCH FEEDER 5000A,45217-048-03-54,-,91221963,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
SIDE DUCT 29 INCH FEEDER,45217-270-029,-,91220013,8,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
BOT DUCT 1000A 10FT 3HUMP P125 P145,76300-404-125-11,-,91222415,12,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
DUCT TOP 28 INCH FEEDER 1000A,45217-017-22-28,-,91220362,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
SIDE DUCT 66 INCH FEEDER,45217-270-066,-,91220040,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 73 INCH FDR 2500A RAL 9003_45217-037-01-73-E,45217-037-01-73-E,-,91223739,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 49 INCH FDR 2500A RAL 9003_45217-044-05-49-E,45217-044-05-49-E,-,91223769,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 27 INCH RAL 9003_45217-270-027-E,45217-270-027-E,-,91223776,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 81 INCH RAL 9003_45217-270-081-E,45217-270-081-E,-,91223785,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 53 INCH FDR 2500A RAL 9003_45217-037-01-53-E,45217-037-01-53-E,-,91223635,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
DUCT BOTTOM 16 INCH FEEDER 1000A,45217-032-11-16,-,91220455,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 26 INCH FDR 2500A RAL 9003_45217-037-01-26-E,45217-037-01-26-E,-,91223603,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 96 INCH FDR 2500A RAL 9003_45217-037-01-96-E,45217-037-01-96-E,-,91223683,3,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 23 INCH RAL 9003_45217-270-023-E,45217-270-023-E,-,91223695,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 21 INCH FDR 2500A RAL 9003_45217-044-05-21-E,45217-044-05-21-E,-,91223640,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 52 INCH FDR 2500A RAL 9003_45217-037-01-52-E,45217-037-01-52-E,-,91223634,4,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 61 INCH FDR 2500A RAL 9003_45217-037-01-61-E,45217-037-01-61-E,-,91223738,5,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG -DUCT BOTTOM 43 INCH FDR 2500A RAL 9003_45217-037-01-43-E,45217-037-01-43-E,-,91223802,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-  SIDE DUCT FEEDER 47 INCH RAL 9003,45217-270-047-E,-,91223217,4,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 67 INCH FDR 2500A RAL 9003_45217-037-01-67-E,45217-037-01-67-E,-,91223703,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 73 INCH RAL 9003_45217-270-073-E,45217-270-073-E,-,91223750,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 21 INCH FDR 2500A RAL 9003_45217-037-01-21-E,45217-037-01-21-E,-,91223629,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 34 INCH FDR 2500A RAL 9003_45217-044-05-34-E,45217-044-05-34-E,-,91223641,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 118 INCH FDR 2500A RAL 9003_45217-037-01-118-E,45217-037-01-118-E,-,91223677,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 28 INCH FDR 2500A RAL 9003_45217-037-01-28-E,45217-037-01-28-E,-,91223680,3,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 48 INCH FDR 2500A RAL 9003_45217-037-01-48-E,45217-037-01-48-E,-,91223682,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
DUCT TOP 69 INCH FEEDER 5000A,45217-027-07-69,-,91221873,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
DUCT BOTTOM 28 INCH FEEDER 1000A,45217-032-11-28,-,91220467,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG- DUCT TOP 110 INCH FDR 2500A RAL 9003_45217-044-05-110-E,45217-044-05-110-E,-,91223857,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG- SIDE DUCT FEEDER 59 INCH RAL 9003_45217-270-059-E,45217-270-059-E,-,91223874,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 32 INCH FDR 2500A RAL 9003_45217-044-05-32-E,45217-044-05-32-E,-,91223719,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 80 INCH RAL 9003_45217-270-080-E,45217-270-080-E,-,91223751,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 120 INCH FDR 2500A RAL 9003_45217-037-01-E,45217-037-01-E,-,91223608,8,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 21 INCH RAL 9003_45217-270-021-E,45217-270-021-E,-,91223649,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 16 INCH FDR 2500A RAL 9003_45217-037-01-16-E,45217-037-01-16-E,-,91223678,3,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 47 INCH FDR 2500A RAL 9003,45217-037-01-47-E,-,91223816,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG- SIDE DUCT FEEDER 98 INCH RAL 9003_45217-270-098-E,45217-270-098-E,-,91223860,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 25 INCH RAL 9003_45217-270-025-E,45217-270-025-E,-,91223721,4,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 67 INCH FDR 2500A RAL 9003_45217-044-05-67-E,45217-044-05-67-E,-,91223706,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 61 INCH RAL 9003_45217-270-061-E,45217-270-061-E,-,91223781,10,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 35 INCH RAL 9003_45217-270-035-E,45217-270-035-E,-,91223778,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG -DUCT TOP 43 INCH FDR 2500A RAL 9003_45217-044-05-43-E,45217-044-05-43-E,-,91223807,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
DUCT BOTTOM 29 INCH FEEDER 1000A,45217-032-11-29,-,91220468,4,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 103 INCH FDR 2500A RAL 9003_45217-037-01-103-E,45217-037-01-103-E,-,91223725,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-  SIDE DUCT FEEDER 110 INCH RAL 9003,45217-270-110-E,-,91223235,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-  SIDE DUCT FEEDER 82 INCH RAL 9003,45217-270-082-E,-,91223185,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 24 INCH FDR 2500A RAL 9003_45217-044-05-24-E,45217-044-05-24-E,-,91223790,3,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 23 INCH FDR 2500A RAL 9003_45217-044-05-23-E,45217-044-05-23-E,-,91223686,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
DUCT BOTTOM 69 INCH FEEDER 5000A,45217-048-03-69,-,91221978,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT TOP 25 INCH FDR 2500A RAL 9003_45217-044-05-25-E,45217-044-05-25-E,-,91223717,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 103 INCH RAL 9003_45217-270-103-E,45217-270-103-E,-,91223729,4,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-DUCT BOTTOM 34 INCH FDR 2500A RAL 9003_45217-037-01-34-E,45217-037-01-34-E,-,91223630,1,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 46 INCH RAL 9003_45217-270-046-E,45217-270-046-E,-,91223653,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 52 INCH RAL 9003_45217-270-052-E,45217-270-052-E,-,91223654,8,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 53 INCH RAL 9003_45217-270-053-E,45217-270-053-E,-,91223655,4,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 118 INCH RAL 9003_45217-270-118-E,45217-270-118-E,-,91223700,2,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE DUCT FEEDER 105 INCH RAL 9003_45217-270-105-E,45217-270-105-E,-,91223659,14,PDI-FGS,69,000078,16/01/2024,SPT,50,16/01/2024,,,
FG- SIDE HOUSING-1 HE_DB72123BFGCACX,DB72123BFGCACX,-,90213141,19,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AFG070X,DB72112AFG070X,-,90213959,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AFG090X,DB72112AFG090X,-,90213960,8,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING-2 FEEDER DOUBLE STACK_DB72114AXG090X,DB72114AXG090X,-,90213978,4,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING-2 FEEDER DOUBLE STACK_DB72114AXG155X,DB72114AXG155X,-,90213979,3,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP/BOTTOM HOUSING-1 FEEDER_DB72111AXG070X,DB72111AXG070X,-,90212496,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- TOP/BOTTOM HOUSING_DB72111AXG200X,DB72111AXG200X,-,90213442,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- SIDE HOUSING FEEDER_DB72112AFG135X,DB72112AFG135X,-,90213449,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-   FD SH 2000A 3P4W 1.25M,DB72112AGC125X,-,90010033,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FD_S/H_ DB72112AFC185X _L1590_FAB,DB72112AFC185X _L1590,-,90211090,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- TOP/BOTTOM HOUSING-1 FEEDER_DB72111AXG085X,DB72111AXG085X,-,90213109,4,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING -1 HE_DB72121BXGDACX,DB72121BXGDACX,-,90213986,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-HE SH-2 1600A 3P4W(50%N) .6X.5M_DB72124BFGEACX,DB72124BFGEACX,-,90213997,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-VE TH-1 1600A 3P4W(50%N) .4X.4M_DB72131CFGUAUX,DB72131CFGUAUX,-,90214003,4,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- TOP HOUSING-1 FEEDER DOUBLE STACK_DB72113AXG135X,DB72113AXG135X,-,90213450,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-DS VE TH-2 3200A 3P4W(50%N) .5X.75M_DB72502CIGCAHX,DB72502CIGCAHX,-,90214008,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-VE SH S2 3200A 3P4W(50%N) .95X.7M_DB72506CIGLAGX,DB72506CIGLAGX,-,90214021,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AGG125X,DB72112AGG125X,-,90212501,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- SIDE HOUSING FEEDER_DB72112AFG085X,DB72112AFG085X,-,90213118,4,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING-1 HE_DB72123BGGVAVX,DB72123BGGVAVX,-,90213995,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-  DB72113AXG095X  TOP HOUSING-1 FEEDER DOUBLE STACK,DB72113AXG095X,-,90100027,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-  IP 55/65/66 JT COVER 2000A 3P4W(50N),DB75004XGXXXXX,-,90210553,10,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG_SIDE HOUSING FEEDER_DB72112AFC135X,DB72112AFC135X,-,90200262,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AFG180X,DB72112AFG180X,-,90213963,4,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING-1 FEEDER DOUBLE STACK_DB72113AXG155X,DB72113AXG155X,-,90213971,3,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING-2 FEEDER DOUBLE STACK_DB72114AXG235X,DB72114AXG235X,-,90213983,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-VE SH S1 3200A 3P4W(50%N) .75X.5M_DB72505CIGHACX,DB72505CIGHACX,-,90214016,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING-1 FEEDER DOUBLE STACK_DB72113AXG050X,DB72113AXG050X,-,90213968,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- TOP HOUSING -1 HE_DB72121BXGCACX,DB72121BXGCACX,-,90213139,22,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- TOP HOUSING 2 HE_DB72122BXGCACX,DB72122BXGCACX,-,90213140,9,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING-1 DOUBLE STACK FEEDER_DB72113AXG180X,DB72113AXG180X,-,90213972,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AFG235X,DB72112AFG235X,-,90213967,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING-2 FEEDER DOUBLE STACK_DB72114AXG050X,DB72114AXG050X,-,90213976,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-DS VE TH-1 3200A 3P4W(50%N) .7X.95M_DB72501CIGGALX,DB72501CIGGALX,-,90214007,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-DS VE TH-4 3200A 3P4W(50%N) .5X.75M_DB72504CIGCAHX,DB72504CIGCAHX,-,90214012,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FD_S/H_ DB72112AFC220X _L1950_FAB,DB72112AFC220X _L1950,-,90211118,4,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP/BOTTOM HOUSING-1 FEEDER_DB72111AXG125X,DB72111AXG125X,-,90212497,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- TOP HOUSING 3 HE_DB72125BXGCACX,DB72125BXGCACX,-,90213143,9,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP/BOTTOM HOUSING-1 FEEDER_DB72111AXG205X,DB72111AXG205X,-,90213956,4,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP/BOTTOM HOUSING-1 FEEDER_DB72111AXG050X,DB72111AXG050X,-,90213953,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-   JOINT COVER,DB75031XXXXXXX,-,90010001,94,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-VE SH S2 3200A 3P4W(50%N) .75X.5M_DB72506CIGHACX,DB72506CIGHACX,-,90214020,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-  IP 55/65/66 JT COVER 3200A 3P4W(50N),DB75004XIXXXXX,-,90210554,48,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FD_S/H_ DB72112AFC050X _L250_FAB,DB72112AFC050X _L250,-,90211115,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING_DB72112AFG200X,DB72112AFG200X,-,90213965,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING -1 HE_DB72121BXGEACX,DB72121BXGEACX,-,90213987,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-VOE TH1 2000A 4W50%N .4X.85X.4M_DB72151HGGUJUX,DB72151HGGUJUX,-,90214022,4,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- TOP HOUSING-1 FEEDER DOUBLE STACK_DB72113AXG220X,DB72113AXG220X,-,90213130,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- TOP HOUSING-2 FEEDER DOUBLE STACK_DB72114AXG220X,DB72114AXG220X,-,90213137,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING-2 HE_DB72124BGGVAVX,DB72124BGGVAVX,-,90214000,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FD_S/H_ DB72112AFC235X _L2125_FAB,DB72112AFC235X _L2125,-,90211067,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING-1 FEEDER DOUBLE STACK_DB72113AXG090X,DB72113AXG090X,-,90213970,4,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP/BOTTOM HOUSING-1 FEEDER_DB72111AXG155X,DB72111AXG155X,-,90212498,6,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- SIDE HOUSING-2 HE_DB72124BFGCACX,DB72124BFGCACX,-,90213142,19,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP/BOTTOM HOUSING-1 FEEDER_DB72111AXG185X,DB72111AXG185X,-,90213955,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AFG205X,DB72112AFG205X,-,90213966,4,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING-1 FEEDER DOUBLE STACK_DB72113AXG185X,DB72113AXG185X,-,90213973,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-HE TH-2 3P4W(50%N) .55X.5M_DB72125BXGDACX,DB72125BXGDACX,-,90214002,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-DS VE TH-4 3200A 3P4W(50%N) .7X.95M_DB72504CIGGALX,DB72504CIGGALX,-,90214013,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-TOP HOUSING-1 FEEDER DOUBLE STACK_DB72113AXG070X,DB72113AXG070X,-,90213969,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG_SIDE HOUSING FEEDER_DB72112AFC200X,DB72112AFC200X,-,90200263,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING-2 HE_DB72124BFGVAVX,DB72124BFGVAVX,-,90213998,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING-2 HE_DB72124BGGCACX,DB72124BGGCACX,-,90213999,1,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-VOE SH1 2000A 4W50%N .4X.85X.4M_DB72152HGGUJUX,DB72152HGGUJUX,-,90214023,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-  IP 55/65/66 JT COVER 1600A 3P4W(50N),DB75004XFXXXXX,-,90210552,14,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG- TOP/BOTTOM HOUSING-1 FEEDER_DB72111AXG220X,DB72111AXG220X,-,90213114,4,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AFG095X,DB72112AFG095X,-,90213961,2,PDI-FGS,69,000077,16/01/2024,SPT,50,16/01/2024,,,
