CUSTOMER,ITEM_NAME,ICODE,WK_REF,PLAN_QTY,VCHNUM,VCHDATE,ARCH_QTY,ISARCH,ENT_BY,ENT_DT,EDT_BY,EDT_DT,ACODE,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_18 WAY SPN DD_DBSPN018DDS,90200329,202411,500,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 4W DD IP43 250A MCCB I/C - PREMIUM (DBVTH004DD),90020063,202411,20,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 6W DD IP43 250A MCCB I/C - PREMIUM (DBVTH006DD),90020064,202411,40,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 8W DD IP43 250A MCCB I/C - PREMIUM (DBVTH008DD),90020065,202411,71,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 12W DD IP43 250A MCCB I/C - PREMIUM (DBVTH012DD),90020116,202411,70,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,VTPN 4W DD IP43 125A MCCB I/C - PREMIUM,90020066,202411,190,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN MCCB 6W DD IP43 SURF/FLU - IND  (DBVTL006DD),90020067,202411,175,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN MCCB 8W DD IP43 SURF/FLU - IND (DBVTL008DD),90020069,202411,220,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 12W DD IP43 125A MCCB I/C - PREMIUM (DBVTL012DD),90020071,202411,130,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 16W DD IP43 125A MCCB I/C - PREMIUM,90020073,202411,20,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 4W DD IP43 - PREMIUM (DBVTM004DD),90020033,202411,275,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 6W MCB I/C IP43 (DBVTM006DD),90020031,202411,180,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 8W DD IP43 - PREMIUM (DBVTM008DD),90020079,202411,175,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 12W DD IP43 - PREMIUM (DBVTM012DD),90020082,202411,100,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 16W DD IP43 - PREMIUM (DBVTM016DD),90020085,202411,10,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,CEB - VTPN DD 125/250 MCCB INCOMER,90020248,202411,35,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,CEB-SPN 16 WAY DOUBLE DOOR.,90020742,202411,18,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,ONE MOD BLANKING PLATE,90020232,202411,5960,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,DP/TP COMB BUS BAR END CAP,90020397,202411,2467,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,507792 TP ENCLOSURE,90040163,202411,700,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,BUSBAR INTERIOR VTPN MCCB 4 250,90040226,202411,50,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,BUSBAR INTERIOR VTPN MCCB 8 250,90040229,202411,100,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,BUSBAR INTERIOR VTPN MCCB 12 250,90040231,202411,150,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
