ITEM_NAME,ERP_CODE,CLOSING,NAME,UNIT,ICAT,CPARTNO,CUST_REF,RATE,CAL_VALUE,PREFX,IWEIGHT,LABRCHG,IRATE1,IH_VALUE,TOT_VAL,GRP,STAGE,CLOSING_WT,FG_REF,,
M5 X 12 COMBI HEAD SCREW_XS02013_PL_EXP,32060224,4755,61. ASSEMBLY  N4,NOS,DOM,-,-,0.49,2330,,0,0,0,0,2330,3206,61,0,,,
M5 X 12 SCREW CHHD PL,32060117,-4,61. ASSEMBLY  N4,NOS,DOM,-,-,0.38,-2,,0,0,0,0,-2,3206,61,0,,,
M5 X 12 SCREW CHHD W/W PL,32060116,13950,61. ASSEMBLY  N4,NOS,DOM,-,-,0.281,3920,,0,0,0,0,3920,3206,61,0,,,
M5 X 15 SCREW MUSH PL,32060218,15979,61. ASSEMBLY  N4,NOS,DOM,-,-,0.286,4570,,0,0,0,0,4570,3206,61,0,,,
M5 X 16 CHEESE HEAD SCREW_ST42242_PL_EXP,32060225,335,61. ASSEMBLY  N4,NOS,DOM,-,-,0.5869,197,,0,0,0,0,197,3206,61,0,,,
M5 X 16 HEX HEAD SCREW_XS00755_PL_EXP,32060228,65,61. ASSEMBLY  N4,NOS,DOM,-,-,0.6203,40,,0,0,0,0,40,3206,61,0,,,
M5 X 18 COMBI HEAD SCREW_ST41617_FLAKE,32060238,40,61. ASSEMBLY  N4,NOS,DOM,ST41617,-,0.9099,36,,0,0,0,0,36,3206,61,0,,,
M5 X 20 SCREW CHHD PL,32060114,1022,61. ASSEMBLY  N4,NOS,DOM,-,-,0.33,337,,0,0,0,0,337,3206,61,0,,,
M5 X 40MM CHEESE HEAD SCREW (XS00451)_ST41524_FLAKE,32060236,374,61. ASSEMBLY  N4,NOS,DOM,ST41524,-,1.8452,690,,0,0,0,0,690,3206,61,0,,,
M5 X 6 COMBI HEAD SCREW_XS02011_PLATED_EXP,32060227,2982,61. ASSEMBLY  N4,NOS,DOM,-,-,0.433,1291,,0,0,0,0,1291,3206,61,0,,,
M5X12 HEX HEAD SCREW_XS01215_FLAKE,32060244,2651,61. ASSEMBLY  N4,NOS,DOM,XS01215,-,0.7904,2095,,0,0,0,0,2095,3206,61,0,,,
M5X15 COMBI HEAD SCREW (ST00309)_ST41523_FLAKE,32060235,336,61. ASSEMBLY  N4,NOS,DOM,ST41523,-,0.6222,209,,0,0,0,0,209,3206,61,0,,,
M6 X 16 SLOTTED HEX HEAD SCREW_ST40378_PL_EXP,32060229,445,61. ASSEMBLY  N4,NOS,DOM,-,-,0.8709,388,,0,0,0,0,388,3206,61,0,,,
M6 X 20MM HEX HEAD WITHOUT SLOT_ST40376_PL,32060189,200,61. ASSEMBLY  N4,NOS,DOM,-,-,0.68,136,,0,0,0,0,136,3206,61,0,,,
M6 X 25 CHEESE HEAD SCREW ROHS_ST42273_PL_EXP,32060230,781,61. ASSEMBLY  N4,NOS,DOM,-,-,1.1636,909,,0,0,0,0,909,3206,61,0,,,
M6 X 50 CHEESE HEAD SCREW (ST00032)_ST41522_PL_EXP,32060231,256,61. ASSEMBLY  N4,NOS,-,-,-,2.6055,667,,0,0,0,0,667,3206,61,0,,,
M8 X 18 SCREWS FOR I/C FIXING_PL,32060195,1836,61. ASSEMBLY  N4,NOS,DOM,-,-,4,7344,,0,0,0,0,7344,3206,61,0,,,
SF-M3 X 8 CHHD SCREW_PL,32060131,72,61. ASSEMBLY  N4,NOS,DOM,-,-,0.18,13,,0,0,0,0,13,3206,61,0,,,
STEP SCREW PDK02_ST12249,32060220,5,61. ASSEMBLY  N4,NOS,DOM,-,-,10.5,53,,0,0,0,0,53,3206,61,0,,,
TRIVALENT PLATED XS00289-M4 X 8MM SLOTTED PAN HEAD SCREW_ST42252_FLAKE,32060239,1884,61. ASSEMBLY  N4,NOS,DOM,ST42252,-,0.407,767,,0,0,0,0,767,3206,61,0,,,
M4 X 12 COMBI HEAD SCREW_XS02015_PL_EXP,32070010,1048,61. ASSEMBLY  N4,NOS,DOM,-,-,0.3142,329,,0,0,0,0,329,3207,61,0,,,
